District,Depth_mbgl,Year,Season
Ajmer,4.3,2022,Pre-Monsoon
Ajmer,4.6,2022,Pre-Monsoon
Ajmer,5.9,2022,Pre-Monsoon
Ajmer,9.1,2022,Pre-Monsoon
Ajmer,6.1,2022,Pre-Monsoon
Ajmer,5.9,2022,Pre-Monsoon
Ajmer,31.1,2022,Pre-Monsoon
Ajmer,21.4,2022,Pre-Monsoon
Ajmer,27.5,2022,Pre-Monsoon
Ajmer,21.1,2022,Pre-Monsoon
Ajmer,44.35,2022,Pre-Monsoon
Ajmer,25.1,2022,Pre-Monsoon
Ajmer,21.0,2022,Pre-Monsoon
Ajmer,4.0,2022,Pre-Monsoon
Ajmer,2.8,2022,Pre-Monsoon
Ajmer,26.5,2022,Pre-Monsoon
Ajmer,38.8,2022,Pre-Monsoon
Ajmer,35.3,2022,Pre-Monsoon
Ajmer,19.4,2022,Pre-Monsoon
Ajmer,20.9,2022,Pre-Monsoon
Ajmer,23.8,2022,Pre-Monsoon
Ajmer,36.7,2022,Pre-Monsoon
Ajmer,33.0,2022,Pre-Monsoon
Ajmer,26.5,2022,Pre-Monsoon
Ajmer,18.5,2022,Pre-Monsoon
Ajmer,14.3,2022,Pre-Monsoon
Ajmer,28.1,2022,Pre-Monsoon
Ajmer,4.65,2022,Pre-Monsoon
Ajmer,29.8,2022,Pre-Monsoon
Ajmer,14.4,2022,Pre-Monsoon
Ajmer,37.5,2022,Pre-Monsoon
Ajmer,47.75,2022,Pre-Monsoon
Ajmer,31.6,2022,Pre-Monsoon
Ajmer,31.8,2022,Pre-Monsoon
Ajmer,16.9,2022,Pre-Monsoon
Ajmer,20.3,2022,Pre-Monsoon
Ajmer,33.1,2022,Pre-Monsoon
Ajmer,33.8,2022,Pre-Monsoon
Ajmer,10.8,2022,Pre-Monsoon
Ajmer,35.1,2022,Pre-Monsoon
Ajmer,17.5,2022,Pre-Monsoon
Ajmer,9.6,2022,Pre-Monsoon
Ajmer,18.1,2022,Pre-Monsoon
Ajmer,5.55,2022,Pre-Monsoon
Ajmer,5.7,2022,Pre-Monsoon
Ajmer,37.1,2022,Pre-Monsoon
Ajmer,47.3,2022,Pre-Monsoon
Ajmer,30.1,2022,Pre-Monsoon
Ajmer,28.4,2022,Pre-Monsoon
Ajmer,41.55,2022,Pre-Monsoon
Ajmer,57.15,2022,Pre-Monsoon
Ajmer,10.15,2022,Pre-Monsoon
